year,dong_code,sido_name,sigungu_name,dong_name,population
2019,1162060500,서울특별시,관악구,은천동,34671
2019,1162061500,서울특별시,관악구,중앙동,15458
2019,1162062500,서울특별시,관악구,인헌동,26703
2019,1162063000,서울특별시,관악구,남현동,18780
2019,1162064500,서울특별시,관악구,서원동,23194
2019,1162065500,서울특별시,관악구,신원동,18510
2019,1162066500,서울특별시,관악구,서림동,23727
2019,1162068500,서울특별시,관악구,신사동,22862
2019,1162069500,서울특별시,관악구,신림동,21645
2019,1162071500,서울특별시,관악구,난향동,16275
2019,1162072500,서울특별시,관악구,조원동,17530
2019,1162073500,서울특별시,관악구,대학동,23549
2019,1162074500,서울특별시,관악구,삼성동,25041
2019,1162076500,서울특별시,관악구,미성동,32067
2019,1162077500,서울특별시,관악구,난곡동,28346
2019,1165051000,서울특별시,서초구,서초1동,21358
2019,1165052000,서울특별시,서초구,서초2동,18508
2019,1165053000,서울특별시,서초구,서초3동,30631
2019,1165053100,서울특별시,서초구,서초4동,31687
2019,1165054000,서울특별시,서초구,잠원동,34914
2019,1165055000,서울특별시,서초구,반포본동,12122
2019,1165056000,서울특별시,서초구,반포1동,32868
2019,1165057000,서울특별시,서초구,반포2동,16208
2019,1165058000,서울특별시,서초구,반포3동,20329
2019,1165058100,서울특별시,서초구,반포4동,19665
2019,1165059000,서울특별시,서초구,방배본동,21383
2019,1165060000,서울특별시,서초구,방배1동,17388
2019,1165061000,서울특별시,서초구,방배2동,20803
2019,1165062000,서울특별시,서초구,방배3동,22290
2019,1165062100,서울특별시,서초구,방배4동,23785
2019,1165065100,서울특별시,서초구,양재1동,45569
2019,1165065200,서울특별시,서초구,양재2동,22900
2019,1165066000,서울특별시,서초구,내곡동,18418
2019,1168051000,서울특별시,강남구,신사동,17254
2019,1168052100,서울특별시,강남구,논현1동,23149
2019,1168053100,서울특별시,강남구,논현2동,21597
2019,1168054500,서울특별시,강남구,압구정동,27542
2019,1168056500,서울특별시,강남구,청담동,29862
2019,1168058000,서울특별시,강남구,삼성1동,14659
2019,1168059000,서울특별시,강남구,삼성2동,30440
2019,1168060000,서울특별시,강남구,대치1동,25256
2019,1168061000,서울특별시,강남구,대치2동,38494
2019,1168063000,서울특별시,강남구,대치4동,20526
2019,1168064000,서울특별시,강남구,역삼1동,36003
2019,1168065000,서울특별시,강남구,역삼2동,37005
2019,1168065500,서울특별시,강남구,도곡1동,22467
2019,1168065600,서울특별시,강남구,도곡2동,34324
2019,1168066000,서울특별시,강남구,개포1동,6895
2019,1168067000,서울특별시,강남구,개포2동,22001
2019,1168069000,서울특별시,강남구,개포4동,18236
2019,1168070000,서울특별시,강남구,세곡동,44868
2019,1168072000,서울특별시,강남구,일원본동,24365
2019,1168073000,서울특별시,강남구,일원1동,16281
2019,1168075000,서울특별시,강남구,수서동,15857
2019,1171051000,서울특별시,송파구,풍납1동,14681
2019,1171052000,서울특별시,송파구,풍납2동,25096
2019,1171053100,서울특별시,송파구,거여1동,13114
2019,1171053200,서울특별시,송파구,거여2동,16842
2019,1171054000,서울특별시,송파구,마천1동,20559
2019,1171055000,서울특별시,송파구,마천2동,20060
2019,1171056100,서울특별시,송파구,방이1동,16394
2019,1171056200,서울특별시,송파구,방이2동,25505
2019,1171056600,서울특별시,송파구,오륜동,18853
2019,1171057000,서울특별시,송파구,오금동,40858
2019,1171058000,서울특별시,송파구,송파1동,25563
2019,1171059000,서울특별시,송파구,송파2동,20691
2019,1171060000,서울특별시,송파구,석촌동,33574
2019,1171061000,서울특별시,송파구,삼전동,32201
2019,1171062000,서울특별시,송파구,가락본동,27511
2019,1171063100,서울특별시,송파구,가락1동,27624
2019,1171063200,서울특별시,송파구,가락2동,33701
2019,1171064100,서울특별시,송파구,문정1동,21095
2019,1171064200,서울특별시,송파구,문정2동,29788
2019,1171064600,서울특별시,송파구,장지동,32833
2019,1171064700,서울특별시,송파구,위례동,28238
2019,1171065000,서울특별시,송파구,잠실본동,29043
2019,1171067000,서울특별시,송파구,잠실2동,36710
2019,1171068000,서울특별시,송파구,잠실3동,35843
2019,1171069000,서울특별시,송파구,잠실4동,22157
2019,1171071000,서울특별시,송파구,잠실6동,17249
2019,1171072000,서울특별시,송파구,잠실7동,10178
2019,1174051500,서울특별시,강동구,강일동,31973
2019,1174053000,서울특별시,강동구,명일제1동,26666
2019,1174054000,서울특별시,강동구,명일제2동,17735
2019,1174055000,서울특별시,강동구,고덕제1동,26965
2019,1174056000,서울특별시,강동구,고덕제2동,19245
2019,1174057000,서울특별시,강동구,암사제1동,36368
2019,1174058000,서울특별시,강동구,암사제2동,14727
2019,1174059000,서울특별시,강동구,암사제3동,18636
2019,1174060000,서울특별시,강동구,천호제1동,28086
2019,1174061000,서울특별시,강동구,천호제2동,35101
2019,1174062000,서울특별시,강동구,천호제3동,27452
2019,1174064000,서울특별시,강동구,성내제1동,20434
2019,1174065000,서울특별시,강동구,성내제2동,24406
2019,1174066000,서울특별시,강동구,성내제3동,23641
2019,1174068500,서울특별시,강동구,길동,46050
2019,1174069000,서울특별시,강동구,둔촌제1동,268
2019,1174070000,서울특별시,강동구,둔촌제2동,27624
2019,2611051000,부산광역시,중구,중앙동,2029
2019,2611052000,부산광역시,중구,동광동,2957
2019,2611053000,부산광역시,중구,대청동,6692
2019,2611054500,부산광역시,중구,보수동,10777
2019,2611056000,부산광역시,중구,부평동,4717
2019,2611057000,부산광역시,중구,광복동,1119
2019,2611058000,부산광역시,중구,남포동,1070
2019,2611059000,부산광역시,중구,영주제1동,4923
2019,2611060000,부산광역시,중구,영주제2동,7626
2019,2614051000,부산광역시,서구,동대신제1동,4632
2019,2614052000,부산광역시,서구,동대신제2동,7921
2019,2614053000,부산광역시,서구,동대신제3동,6682
2019,2614054000,부산광역시,서구,서대신제1동,12199
2019,2614056000,부산광역시,서구,서대신제3동,8897
2019,2614057000,부산광역시,서구,서대신제4동,8165
2019,2614059000,부산광역시,서구,부민동,8007
2019,2614061500,부산광역시,서구,아미동,7490
2019,2614063000,부산광역시,서구,초장동,4869
2019,2614064000,부산광역시,서구,충무동,10237
2019,2614065000,부산광역시,서구,남부민제1동,4848
2019,2614066000,부산광역시,서구,남부민제2동,10015
2019,2614068000,부산광역시,서구,암남동,14267
2019,2617051000,부산광역시,동구,초량제1동,4922
2019,2617052000,부산광역시,동구,초량제2동,5899
2019,2617053000,부산광역시,동구,초량제3동,8488
2019,2617055000,부산광역시,동구,초량제6동,6645
2019,2617056000,부산광역시,동구,수정제1동,4360
2019,2617057000,부산광역시,동구,수정제2동,10047
2019,2617059000,부산광역시,동구,수정제4동,4393
2019,2617060000,부산광역시,동구,수정제5동,5865
2019,2617064500,부산광역시,동구,좌천동,11449
2019,2617065000,부산광역시,동구,범일제1동,12453
2019,2617066000,부산광역시,동구,범일제2동,9012
2019,2617068000,부산광역시,동구,범일제5동,4632
2019,2620053000,부산광역시,영도구,남항동,10806
2019,2620054000,부산광역시,영도구,영선제1동,4205
2019,2620055000,부산광역시,영도구,영선제2동,9154
2019,2620058500,부산광역시,영도구,신선동,9583
2019,2620059000,부산광역시,영도구,봉래제1동,7439
2019,2620060500,부산광역시,영도구,봉래제2동,5486
2019,2620063000,부산광역시,영도구,청학제1동,7083
2019,2620064000,부산광역시,영도구,청학제2동,18986
2019,2620065000,부산광역시,영도구,동삼제1동,29526
