school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090002223,예산세출,6960000,268053000,34109000,306436000,0,0,2025
S090002224,예산세출,6860000,507929000,57450000,332697000,0,0,2025
S090002225,예산세출,3840000,624850000,41462000,327635000,0,0,2025
S090002227,예산세출,8440000,58841000,47215000,280138000,0,10000,2025
S090002228,예산세출,4750000,333653000,32476000,304526000,0,0,2025
S090002229,예산세출,8270000,953800000,68270000,345510000,0,0,2025
S090002230,예산세출,8568000,427991000,54116000,299766000,0,0,2025
S090002231,예산세출,15990000,852270000,68154000,260006000,0,0,2025
S090002232,예산세출,8500000,264109000,49490000,255474000,0,0,2025
S090002234,예산세출,2670000,482667000,28770000,377202000,0,0,2025
S090002235,예산세출,5110000,480217000,28155000,318486000,0,0,2025
S090002236,예산세출,10350000,648716000,62820000,316968000,0,0,2025
S090002237,예산세출,12200000,1110565000,72805000,304468000,0,0,2025
S090002238,예산세출,2900000,377067000,54425000,318777000,0,0,2025
S090002239,예산세출,9110000,802394000,57046000,332023000,0,0,2025
S090002240,예산세출,4000000,793151000,60421000,341942000,0,0,2025
S090002241,예산세출,2200000,364752000,29320000,310001000,0,0,2025
S090002242,예산세출,3420000,369008000,32166000,292225000,0,100000,2025
S090002243,예산세출,7080000,425179000,38886000,303661000,0,100000,2025
S090002244,예산세출,5530000,700405000,65888000,312752000,0,0,2025
S090002245,예산세출,3900000,382317000,30115000,337101000,0,0,2025
S090002246,예산세출,5000000,677264000,35135000,358920000,0,0,2025
S090002247,예산세출,4540000,852056000,89975000,303737000,0,0,2025
S090002248,예산세출,3300000,384481000,69550000,318348000,0,0,2025
S090002249,예산세출,4430000,520057000,43057000,310230000,5000000,0,2025
S090002250,예산세출,6660000,849439000,46674000,385161000,0,0,2025
S090002251,예산세출,5000000,561639000,65013000,302145000,0,0,2025
S090002252,예산세출,5860000,873700000,65925000,346488000,0,0,2025
S090002253,예산세출,8500000,507669000,42670000,351125000,0,0,2025
S090002256,예산세출,7844000,778354000,56346000,331564000,4780000,0,2025
S090002257,예산세출,12550000,726246000,51975000,285229000,0,0,2025
S090002258,예산세출,3670000,303653000,35708000,246586000,0,0,2025
S090002259,예산세출,3760000,296839000,23597000,290046000,0,0,2025
S090002260,예산세출,3030000,792643000,68163000,389795000,0,0,2025
S090002262,예산세출,5070000,821194000,68967000,299972000,0,0,2025
S090002267,예산세출,2530000,506388000,22410000,351781000,0,0,2025
S090002269,예산세출,4650000,503869000,80050000,234378000,0,0,2025
S090002270,예산세출,5820000,486660000,49900000,286879000,0,0,2025
S090002271,예산세출,6835000,135990000,93332000,223738000,0,0,2025
S090002272,예산세출,8490000,1143759000,90163000,332141000,0,0,2025
S090002273,예산세출,6040000,399429000,66330000,258785000,0,0,2025
S090002274,예산세출,2000000,229608000,23710000,252862000,1200000,0,2025
S090002275,예산세출,2840000,713923000,61985000,338809000,0,0,2025
S090002276,예산세출,9440000,753605000,69552000,297126000,0,0,2025
S090002277,예산세출,5070000,241279000,22716000,259872000,0,0,2025
